effect,component,group,term,estimate,std.error,ci_lb,ci_ub,scale,formula,response_name,response_tier,n,sig,percent_change,ci_ub_percent_change,ci_lb_percent_change,clean_response,clean_response_tier
fixed,cond,,Intercept,0.278694809899895,0.137636095214485,-0.013496395713289,0.539113735842752,plot,1 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,non-significant,32.1404002904909,71.4486700541205,-1.3405727720051,Plant Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.152495449609696,0.149756830563372,-0.147431233977923,0.445306234303223,site,1,plant_richness_site,taxonomic_diversity,6,non-significant,16.4737162073867,56.0968144638898,-13.7078224020958,Plant Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.141637278159172,0.122111309731483,-0.384185847101052,0.114877575934117,plot,1 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,78,non-significant,-13.2063981252669,12.1736101671086,-31.899514735951,Woody Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.209888082893503,0.232488294453265,-0.666349134563542,0.272845912123956,site,1,woody_richness_site,taxonomic_diversity,6,non-significant,-18.9325030709781,31.3697804323895,-48.6419828664021,Woody Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.29774010756318,0.210681069436521,-0.213269796333244,0.65978017127265,plot,1 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,81,non-significant,34.6811716212171,93.4367058211147,-19.2061870935799,Forb Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.296250932440628,0.211335044751393,-0.132683271205925,0.694373802814048,site,1,forb_richness_site,taxonomic_diversity,6,non-significant,34.4807570342086,100.245474972574,-12.4257578971642,Forb Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.342417334171529,0.142410992192251,0.0323260316863799,0.613302739647087,plot,1 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,66,significant,40.8347926601898,84.6519913384919,3.28541936111355,Graminoid Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.408138870186237,0.309225604642468,-0.238462669868508,1.01720403110962,site,1,graminoid_richness_site,taxonomic_diversity,6,non-significant,50.4016009651726,176.545182722657,-21.2161902192008,Graminoid Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.197315577084397,0.0916474797125743,-0.377217518772446,-0.0104287808861307,plot,1 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,significant,-17.9068474746704,-1.03745896970272,-31.4233109500692,Plant Dominance,Dominance
fixed,cond,,Intercept,-0.322074550758294,0.0872061481168749,-0.487628459432059,-0.138854734233113,site,1,berger_parker_site,dominance,6,significant,-27.5355834455901,-12.9645548017545,-38.5919013337993,Plant Dominance,Dominance
fixed,cond,,Intercept,0.186421828408344,0.204086542972099,-0.21613808571173,0.614975553099923,plot,1 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,non-significant,20.4930427074738,84.9611381740981,-19.4375950977754,Plant Functional Dispersion,"Functional
Characteristics"
fixed,cond,,Intercept,0.0127766307496259,0.155596330423906,-0.27494412397213,0.308777972582549,site,1,functional_dispersion_site,functional_diversity,6,non-significant,1.2858600623878,36.1759988882639,-24.0385433716141,Plant Functional Dispersion,"Functional
Characteristics"
fixed,cond,,Intercept,0.039021195987199,0.0773434436082465,-0.121382291804472,0.189348502935765,plot,1 + (1 | exclosure_id/cluster_id),functional_richness_plot,functional_diversity,108,non-significant,3.97925228455895,20.8462031670771,-11.4304699190997,Plant Functional Richness,"Functional
Characteristics"
fixed,cond,,Intercept,-0.0699024532278642,0.107382246189935,-0.292152899434653,0.154191046408475,site,1,functional_richness_site,functional_diversity,6,non-significant,-6.7515223650379,16.6713761961951,-25.3345635784989,Plant Functional Richness,"Functional
Characteristics"
fixed,cond,,Intercept,0.134232893343076,0.0806492288139363,-0.0264136420492332,0.305154278225432,plot,1 + (1 | exclosure_id/cluster_id),functional_diversity_plot,functional_diversity,108,non-significant,14.3659139231688,35.6834316850134,-2.60678530116054,Plant Functional Diversity,"Functional
Characteristics"
fixed,cond,,Intercept,0.113837006517826,0.140402276054342,-0.165378401354493,0.400638187970333,site,1,functional_diversity_site,functional_diversity,6,non-significant,12.0569464479297,49.2777066079867,-15.2427079341907,Plant Functional Diversity,"Functional
Characteristics"
fixed,cond,,Intercept,-0.363924110489587,0.16014561338756,-0.657229242509799,-0.0247950550403371,plot,1 + (1 | exclosure_id/cluster_id),functional_nearerst_neighbour_distance_plot,functional_diversity,105,significant,-30.5056068303465,-2.44901826369922,-48.1714610009379,Plant Functional Distance,"Functional
Characteristics"
fixed,cond,,Intercept,-0.12794724751132,0.174427231390668,-0.487336980678355,0.220362574215491,site,1,functional_nearerst_neighbour_distance_site,functional_diversity,6,non-significant,-12.0100205175672,24.6528607794977,-38.5739995688674,Plant Functional Distance,"Functional
Characteristics"
fixed,cond,,Intercept,0.215087163614206,0.12244017059097,-0.0437619134875325,0.455818667773145,plot,1 + (1 | exclosure_id/cluster_id),plant_evenness_plot,dominance,105,non-significant,23.9969972520177,57.7464273720773,-4.28181775719168,Plant Evenness,Dominance
fixed,cond,,Intercept,0.17902600173927,0.0821058966275176,0.0153640585956313,0.345130835011471,site,1,plant_evenness_site,dominance,6,significant,19.6051843191748,41.2174669470603,1.54826925314575,Plant Evenness,Dominance
fixed,cond,,Intercept,0.35301213986552,0.173098427063098,-0.00135830353942715,0.706310734236452,plot,1 + (1 | exclosure_id/cluster_id),shannon_diversity_plot,taxonomic_diversity,105,non-significant,42.3348422587157,102.650114933026,-0.135738146270847,Shannon Diversity,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.217456079243325,0.108888289002706,-0.00192544565573094,0.438576996240552,site,1,shannon_diversity_site,taxonomic_diversity,6,non-significant,24.2910838724389,55.0499281625895,-0.192359317438584,Shannon Diversity,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.132662192613657,0.0441766724307116,-0.221601310395416,-0.0458034356677317,plot,1 + (1 | exclosure_id/cluster_id),point_return_fraction_plot,structure,107,significant,-12.4239119359667,-4.47702921722558,-19.8765255372858,Vegetation Density,"Vegetation
Structure"
fixed,cond,,Intercept,-0.133568167406332,0.0587048846096428,-0.246332323964924,-0.0182799171733198,site,1,point_return_fraction_site,structure,6,significant,-12.5032177342422,-1.81138529072737,-21.8337583395915,Vegetation Density,"Vegetation
Structure"
fixed,cond,,Intercept,-0.376580144032962,0.0898359447281093,-0.551163080865843,-0.189953203708998,plot,1 + (1 | exclosure_id/cluster_id),mean_point_height_plot,structure,107,significant,-31.3795879682694,-17.3002166530869,-42.372083881929,Vegetation Height,"Vegetation
Structure"
fixed,cond,,Intercept,-0.391158601400843,0.150410472747939,-0.686706601390517,-0.056235020883738,site,1,mean_point_height_site,structure,6,significant,-32.3727110294441,-5.46830594416352,-49.6769317850879,Vegetation Height,"Vegetation
Structure"
